tipo_inmueble,titulo,price,rooms,bathrooms,area,colonia,ubicacion_raw,publicado_reciente,url,antiguedad,parking_spaces,alcaldia,gentrification_index,tipo_clean,alc,price_m2_raw,latitud,longitud,colonia_oficial,dist_metro_m,density_metro,dist_metrobus_m,density_metrobus,dist_cable_m,density_cable,dist_trole_m,density_trole,dist_tren_m,density_tren,comercio_density,marginalidad_score,pct_migrantes_turistas,dist_ciclovia_m,densidad_ciclovia_15m,dist_area_verde_m,densidad_parques_15m,dist_salud_m,acceso_salud_15m,dist_escuela_m,acceso_educacion_15m,score_15min,prox_ciclovia,prox_parque,prox_salud,prox_escuela,uso_mixto,dist_nearest_subcenter_m,dist_subcenter_log,listing_density_local,listing_density_log,area_x_marginalidad,area_X_gentrif,gentrif_x_metro,15min_X_gentrif,verde_marginalidad_ratio,salud_marginalidad_ratio,educacion_marginalidad_ratio,spatial_lag_price,precio_vecinal_local,lag_x_area,cluster,precio_predicho,error_pct
Departamento,,3800000,3.0,3.0,75.0,Sara 4449,"Sara 4449, Guadalupe Tepeyac, Ciudad De México, Guadalupe Tepeyac, Gustavo A. Madero, Distrito Federal",True,https://departamento.mercadolibre.com.mx/MLM-5390330888-hermoso-departamento-en-venta-en-sara-towers-de-3-recamaras-y-2-banos-comodo-y-bien-iluminado-_JM,0.0,0,Gustavo A. Madero,0.83,departamento,gustavo a. madero,50666.666666666664,19.4655649,-99.1193389,guadalupe tepeyac,6.609012182451373,0,6.492403518953048,0,8.108144072744876,0,4.388081433705355,4,8.517393171418904,0.0,2.1972245773362196,3.0,0.04974209189481407,6.243272143876449,42,4.5890704004004474,42,7.379079498109362,0,3.9800518348464293,45,0.6569767441860465,0.3580513694863437,0.8229944477798558,0.13514690263686124,0.9161886241818291,0.0,1432.0062030807637,7.267529756556251,94,4.553876891600541,12.992200020858993,62.25,0.0,0.5452906976744185,2.4423470353692043,0.0,2.505525936990736,10.464465541265442,35130.563283362106,45.3188098078357,1,2683413.7923543626,-29.38384756962204
Casa,,9300000,8.0,5.0,255.0,Chiclayo,"Chiclayo, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-4965643814-casa-en-venta-en-lindavista-norte-_JM,0.0,0,Gustavo A. Madero,0.83,casa,gustavo a. madero,36470.58823529412,19.4878635,-99.1323827,lindavista i,5.650733852328141,1,5.658163792764567,2,7.211252090033223,0,6.7235587033856286,0,8.517393171418904,0.0,2.4849066497880004,3.0,0.04974209189481407,7.016528693838356,0,5.161830266753607,33,5.037947785514741,6,5.472100269587747,64,0.5116279069767442,0.10776316252126877,0.7068286321399392,0.8257677923029596,0.6737255733805404,0.0,1114.3130562232477,7.016890412399511,62,4.143134726391533,16.635532333438686,211.64999999999998,0.83,0.42465116279069764,2.224623551524334,0.9162907318741551,2.833213344056216,10.605612781314235,39891.288193365355,58.81000477982786,1,9419385.66194923,1.2837167951530146
Casa,,13650000,4.0,5.0,300.0,Sin Calle,"Sin Calle, Lindavista Norte, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2817912093-residencia-en-venta-remodelada-y-lista-para-habitar-lindavista-norte-_JM,0.0,0,Gustavo A. Madero,0.83,casa,gustavo a. madero,45500.0,19.4817469,-99.1171968,aragon la villa (aragon),4.820671630585478,1,5.639896560628831,6,7.382147427663786,0,5.062614513544654,8,8.517393171418904,0.0,2.4849066497880004,3.0,0.04974209189481407,4.813607240865312,25,5.386792163996134,23,6.502526077558062,4,4.719294577890172,66,0.5988372093023255,0.7832132430764825,0.6472629276714708,0.43505625020952526,0.8309807984040325,0.0,1061.9810618148233,6.968832562392862,91,4.5217885770490405,17.121330794246624,249.0,0.83,0.4970348837209302,1.9095425048844386,0.6931471805599453,2.8622008809294686,10.467828624085682,33160.46346662161,59.74105219015149,1,8115987.400382921,-40.54221684701157
Departamento,,2643334,2.0,1.0,68.0,Av. Acueducto De Guadalupe 511,"Av. Acueducto De Guadalupe 511, Santa Isabel Tola, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-4995492040-departamento-en-venta-en-santa-isabel-tola-_JM,0.0,0,Gustavo A. Madero,0.83,departamento,gustavo a. madero,38872.55882352941,19.5037406,-99.1223025,san pedro zacatenco (pblo),6.883364646195856,0,6.697165239808178,0,6.8233555541550075,0,7.245455382768633,0,8.517393171418904,0.0,1.6094379124341003,3.0,0.04974209189481407,7.792557557511132,0,4.239440828838243,43,7.600293590189415,0,5.367889819843021,42,0.4011627906976744,0.00788328388212711,0.8721986218696011,0.08231283003690901,0.7006945343021739,0.0,949.2577675609901,6.856733282064826,76,4.343805421853684,12.702319513791778,56.44,0.0,0.3329651162790697,2.463853240590168,0.0,2.4423470353692043,10.565045829847815,38329.14888727347,44.733529269526784,0,2567199.9261565465,-2.8802290532885193
Casa,,6800000,8.0,7.0,360.0,Calle Wagner 300,"Calle Wagner 300, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-5225283468-casa-en-venta-en-vallejo-_JM,0.0,0,Gustavo A. Madero,0.83,casa,gustavo a. madero,18888.88888888889,19.4674527,-99.1279097,vallejo ii,6.291491433061015,0,5.668916792507428,3,8.056617376044512,0,5.262405186739425,4,8.517393171418904,0.0,2.3978952727983707,3.0,0.04974209189481407,5.9313604508067455,58,4.772031390718246,53,7.322814345758394,0,4.888911949142992,55,0.872093023255814,0.47173721157235593,0.791110162533581,0.15079631796042559,0.8027743171858049,0.0,1759.355248986863,7.473270913679294,90,4.51085950651685,17.66663387499864,298.8,0.0,0.7238372093023255,2.6567569067146595,0.0,2.691243082785829,10.322050843211784,26647.45845323379,60.785297695381196,1,9837154.06035665,44.66403029936251
Departamento,,2189000,2.0,1.0,50.0,Av. Acueducto 835,"Av. Acueducto 835, Candelaria Ticoman, Ciudad De México, Barrio Candelaria Ticomán, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2798063013-excelentes-departamentos-nuevos-av-acueducto-preventa-2-y-3-recamaras-balcon-muy-buena-ubicacion-_JM,0.0,0,Gustavo A. Madero,0.83,departamento,gustavo a. madero,43780.0,19.5189556,-99.1294855,san juan y guadalupe ticoman (barr),7.943159490628919,0,7.883438552258895,0,6.830544888777104,0,7.49272849242817,0,8.517393171418904,0.0,1.3862943611198906,3.0,0.04974209189481407,8.109986807225628,0,5.259188343812609,9,6.921702392840289,0,5.197096707481819,23,0.09302325581395349,0.0012900577935705069,0.6820511310209147,0.2818709221362785,0.7411310122754741,0.0,2790.717892561265,7.93441241743099,8,2.1972245773362196,11.795476898172977,41.5,0.0,0.07720930232558139,1.1786549963416462,0.0,1.9095425048844386,10.474025211407849,35808.66142923881,41.18204080401421,0,1766908.6388435953,-19.282382876034934
Casa,,15000000,5.0,5.0,500.0,Torres Lindavista,"Torres Lindavista, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2776038787-casa-en-venta-en-torres-lindavista-_JM,0.0,0,Gustavo A. Madero,0.83,casa,gustavo a. madero,30000.0,19.506314,-99.1445042,lindavista ii,6.679769486264925,0,7.223941639777131,0,7.1472128030593325,0,4.678778369103367,7,8.517393171418904,0.0,2.302585092994046,3.0,0.04974209189481407,7.287560775184536,0,5.207770810799338,50,7.024704089587906,0,6.269422731361549,12,0.26744186046511625,0.05382590649371316,0.6953272207723313,0.24565495239178914,0.415355435526639,0.0,3009.414085044649,8.009832918063342,58,4.07753744390572,18.649818303254595,415.0,0.0,0.2219767441860465,2.6026896854443837,0.0,1.3862943611198906,10.403905139914237,32781.37485539022,64.67698016789902,0,16185098.024160609,7.900653494404057
Departamento,,3150000,3.0,1.0,64.0,Guadalupe Tepeyac,"Guadalupe Tepeyac, Mexico City, Guadalupe Tepeyac, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2831523237-sara-towers-guadalupe-tepeyac-departamento-3-recamaras-bastante-luminoso-_JM,0.0,0,Gustavo A. Madero,0.83,departamento,gustavo a. madero,49218.75,19.4675479,-99.1205924,guadalupe tepeyac,6.868090228102709,0,6.179597934809932,2,8.036819566325962,0,4.5535922320885875,4,8.517393171418904,0.0,2.1972245773362196,3.0,0.04974209189481407,5.752539199161273,47,4.407367290964566,46,7.312000614851278,0,4.301367336990282,51,0.7441860465116279,0.5336692930014773,0.8503507958707023,0.15389814040650712,0.8857377266338726,0.0,1384.120667509458,7.23354253938188,95,4.564348191467836,12.523161809686911,53.12,0.0,0.6176744186046511,2.5257286443082556,0.0,2.6210388241125804,10.481580741498268,34049.51468714505,43.75417721569364,1,2351434.1901334547,-25.3512955513189
Departamento,,2755817,2.0,1.0,70.0,Av. Acueducto De Guadalupe 511,"Av. Acueducto De Guadalupe 511, Santa Isabel Tola, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2784668511-departamento-en-venta-en-santa-isabel-tola-_JM,0.0,0,Gustavo A. Madero,0.83,departamento,gustavo a. madero,39368.81428571429,19.5037406,-99.1223025,san pedro zacatenco (pblo),6.883364646195856,0,6.697165239808178,0,6.8233555541550075,0,7.245455382768633,0,8.517393171418904,0.0,1.6094379124341003,3.0,0.04974209189481407,7.792557557511132,0,4.239440828838243,43,7.600293590189415,0,5.367889819843021,42,0.4011627906976744,0.00788328388212711,0.8721986218696011,0.08231283003690901,0.7006945343021739,0.0,949.2577675609901,6.856733282064826,76,4.343805421853684,12.788039631123947,58.099999999999994,0.0,0.3329651162790697,2.463853240590168,0.0,2.4423470353692043,10.565045829847815,38488.06860849534,45.035408258911545,0,2690711.035309734,-2.362492309549806
Departamento,,3070028,2.0,1.0,76.0,Av. Acueducto De Guadalupe 511,"Av. Acueducto De Guadalupe 511, Santa Isabel Tola, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-4995472436-departamento-en-venta-en-santa-isabel-tola-_JM,0.0,0,Gustavo A. Madero,0.83,departamento,gustavo a. madero,40395.10526315789,19.5037406,-99.1223025,san pedro zacatenco (pblo),6.883364646195856,0,6.697165239808178,0,6.8233555541550075,0,7.245455382768633,0,8.517393171418904,0.0,1.6094379124341003,3.0,0.04974209189481407,7.792557557511132,0,4.239440828838243,43,7.600293590189415,0,5.367889819843021,42,0.4011627906976744,0.00788328388212711,0.8721986218696011,0.08231283003690901,0.7006945343021739,0.0,949.2577675609901,6.856733282064826,76,4.343805421853684,13.031416265561052,63.08,0.0,0.3329651162790697,2.463853240590168,0.0,2.4423470353692043,10.565045829847815,38329.14888727347,45.892503357825596,0,2843986.465974178,-7.362849264756603
