precio_mxn,publicado_reciente,tipo_inmueble,recamaras,banos,m2,ubicacion,colonia,url,latitud,longitud
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-2718542243-gran-inversion-casa-de-504-m2-de-construccion-con-plusvalia-garantizada-en-gustavo-a-madero-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-2722438487-tu-hogar-ideal-en-acueducto-de-guadalupe-ubicacion-premium-zona-escolar-y-centros-comerciales-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-5091433572-venta-departamento-luis-de-la-rosa-constitucion-de-la-republica-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-2843257117-venta-casa-4-ambientes-salvador-diaz-miron-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-5368473650-departamento-en-venta-en-av-congreso-de-la-union-con-balcon-y-un-cajon-fijo-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-5080691562-venta-departamentos-guadalupe-tepeyac-gam-cdmx-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-2737846821-depto-en-colguadalupe-proletaria-gam-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-2600972989-espectacular-casa-en-la-colonia-guadalupe-tepeyac-con-potencial-de-inversion-con-una-excelente-ubicacion-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-2722221837-gran-oportunidad-casa-en-aragon-duplex-con-uso-de-suelo-mixto-ideal-para-residencia-o-comercio-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-5192525738-departamento-64m2-balcon-2-recamaras-bodega-en-aragon-la-villa-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-4679961070-casa-en-venta-a-3-calles-de-la-basilica-de-guadalupe-_JM,,
,False,Otro Inmueble,,,,,,https://terreno.mercadolibre.com.mx/MLM-5286706662-lindavista-terreno-premium650m2-cconstruccion-vigilancia-_JM,,
