source,title,location,renta_mensual,rooms,bathrooms,parking_spaces,area,antiguedad,alcaldia,colonia_o_municipio,latitud,longitud,url
rentola_rentas,Departamento en Renta,"Calzada del Hueso, Fraccionamiento Residencial Hacienda Coapa, 14325 Mexico City, CMX, Mexico",22500.0,3,0,1,150.0,30.0,No Identificada,Fraccionamiento Residencial Hacienda Coapa,19.3014378,-99.1168782,https://rentola.mx/listings/departamento-en-renta-en-granjas-coapa-pfe3c67
rentola_rentas,Departamento en Renta,"Calle Esterlinas, Aquiles Serdán, 15430 Mexico City, Mexico",2500.0,1,0,0,100.0,30.0,Aquiles Serdán,Aquiles Serdán,19.4905558,-99.1952293,https://rentola.mx/listings/esterlinas-239-depto-10-col-aquiles-serdan-p460273
rentola_rentas,Departamento en Renta,"Carso Moliere, Prolongación Moliere 255, Granada, 11520 Mexico City, CMX, Mexico",5900.0,3,0,1,33.0,30.0,No Identificada,Prolongación Moliere 255,19.4411193,-99.2003373,https://rentola.mx/listings/departamento-en-renta-en-polanco-p78f1a7
rentola_rentas,Departamento en Renta,"Calle Felipe Carrillo Puerto 195, Popotla, 11400 Mexico City, CMX, Mexico",2900.0,1,0,0,483.0,30.0,No Identificada,Popotla,19.450631,-99.1788632,https://rentola.mx/listings/rec-individual-amueblada-pef759d
rentola_rentas,Departamento en Renta,"Calle de Parras 10A, Condesa, 06100 Mexico City, CMX, Mexico",5300.0,1,0,0,530.0,30.0,Condesa,Condesa,19.4148639,-99.176429,https://rentola.mx/listings/se-renta-cuarto-a-senorita-en-la-condesa-p1ca866
rentola_rentas,Departamento en Renta,"Obrera, Avenida Lázaro Cárdenas, 06800 Mexico City, CMX, Mexico",5000.0,1,0,1,227.0,30.0,No Identificada,Avenida Lázaro Cárdenas,19.4132002,-99.1440487,https://rentola.mx/listings/obrera-p21e2f2
rentola_rentas,Departamento en Renta,"Avenida Aquiles Serdán, Colonia Presidente Madero, 02420 Mexico City, CMX, Mexico",2500.0,1,0,0,227.0,30.0,No Identificada,Colonia Presidente Madero,19.4907168,-99.1955727,https://rentola.mx/listings/promocion-mujer-cuarto-compartido-cerca-metros-aquiles-y-tezozomoc-p38a69e
rentola_rentas,Departamento en Renta,"Calle Nueva York 120, Del Valle, 03810 Mexico City, CMX, Mexico",5000.0,1,0,0,556.0,30.0,No Identificada,Del Valle,19.386333,-99.1750493,https://rentola.mx/listings/rento-habitaciones-2-en-col-napoles-exclusivo-p086d31
rentola_rentas,Departamento en Renta,"Calle Malintzin, Colonia Del Carmen, 04100 Mexico City, Mexico",6000.0,1,0,0,545.0,30.0,Colonia Del Carmen,Colonia Del Carmen,19.3512067,-99.1642827,https://rentola.mx/listings/rento-recamara-amueblada-en-la-mejor-zona-de-coyoacan-pcdc97f
rentola_rentas,Departamento en Renta,"Plaza Oasis Coyoacán, Transbordo Intermodal Metro Miguel Ángel de Quevedo, Barrio Oxtopulco, 04310 Mexico City, Mexico",12000.0,4,0,1,27.0,30.0,Coyoacán,Transbordo Intermodal Metro Miguel Ángel de Quevedo,19.3463172,-99.1808828,https://rentola.mx/listings/casa-en-renta-en-lomas-de-chapultepec-miguel-hidalgo-ciudad-de-mexico-p7f0870
rentola_rentas,Departamento en Renta,"Calle Hacienda Coyotepec, Colonia Potrero Acoxpa, 14358 Mexico City, Mexico",22000.0,3,0,0,85.0,30.0,Colonia Potrero Acoxpa,Colonia Potrero Acoxpa,19.2986877,-99.1408879,https://rentola.mx/listings/casa-en-renta-prado-coapa-2a-seccion-tlalpan-cdmx-p3801f8
