tipo_inmueble,titulo,precio_mxn,recamaras,banos,m2,colonia,ubicacion,publicado_reciente,url
Terreno,,4200000,,,805,Avenida Río De Los Remedios No. 164,"Avenida Río De Los Remedios No. 164, La Candelaria Ticoman, Gustavo A. Madero, Distrito Federal",False,https://terreno.mercadolibre.com.mx/MLM-4670351106-terreno-en-venta-colonia-la-candelaria-ticoman-en-gustavo-a-madero-_JM
Casa,Venta Casas Lindavista Sur T-df0217-0080,3200000,10,4,190,AV DEL TANQUE II,"AV DEL TANQUE II, Lindavista Sur, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2782080571-venta-casas-lindavista-sur-t-df0217-0080-_JM
Departamento,Venta Departamentos Ex Ejido San Juan De Aragon Sector 32 T-df0237-0015,1400000,2,1,47,PUERTO OPORTO,"PUERTO OPORTO, San Juan De Aragón I Sección, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-4789167488-venta-departamentos-ex-ejido-san-juan-de-aragon-sector-32-t-df0237-0015-_JM
Casa,,39980000,,6,863,Lima,"Lima, Colonia Lindavista Norte, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-5058128858-clinica-en-venta-colonia-lindavista-gustavo-a-madero-ciudad-de-mexico-_JM
Casa,,8750000,4,4,306,Puente De Calderón,"Puente De Calderón, San Bartolo Atepehuacan, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-5030537858-casa-en-venta-colonia-san-bartolo-atepehuacan-_JM
Local Comercial,Excelente Propiedad Comercial En Aragon La Villa,5850000,,2,241,5 De Febrero No.34,"5 De Febrero No.34, Aragón La Villa, Gustavo A. Madero, Distrito Federal",False,https://inmueble.mercadolibre.com.mx/MLM-2470339465-excelente-propiedad-comercial-en-aragon-la-villa-_JM
Casa,,6250000,6,4,322,Norte 84,"Norte 84, San Pedro El Chico, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-5057996874-casa-en-venta-en-san-pedro-chico-gustavo-a-madero-cdmx-_JM
Casa,Venta Casas Vallejo T-df0236-0039,5800000,3,3,250,C. GOUNOD,"C. GOUNOD, Vallejo, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2785716767-venta-casas-vallejo-t-df0236-0039-_JM
Casa,,13900000,3,3,575,Cienfuegos,"Cienfuegos, Lindavista, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-5058188126-casa-en-venta-en-lindavista-gustavo-a-madero-cdmx-_JM
Departamento,,4900000,3,2,119,Otilia,"Otilia, Guadalupe Tepeyac, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-5030570096-departamento-en-venta-colonia-guadalupe-tepeyac-_JM
Casa,,6600000,5,4,400,Calle Nte. 74,"Calle Nte. 74, La Joya, Ciudad De México, La Joya, Gustavo A. Madero, Distrito Federal",True,https://casa.mercadolibre.com.mx/MLM-5389439248-casa-en-venta-en-colonia-la-joya-gustavo-a-madero-_JM
Departamento,Departamento En Martín Carrera,2300000,2,2,60,Departamentos Y Estudios En Preventa En Atmósfera Martín Carrera: Av. Martín Carrera #130,"Departamentos Y Estudios En Preventa En Atmósfera Martín Carrera: Av. Martín Carrera #130, Martín Carrera, Gustavo A. Madero, Cdmx, México Al 100, Martín Carrera, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2782334415-departamento-en-martin-carrera-_JM
Casa,,5490000,3,1,203,Valle Del Tepeyac,"Valle Del Tepeyac, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-5262373686-casa-en-venta-cerca-de-ave-100-metros-cod-zv1396-_JM
Casa,,17790000,3,4,1005,Insurgentes Norte 1099,"Insurgentes Norte 1099, Vallejo, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-4701169214-casa-en-venta-en-colonia-vallejo-gustavo-a-madero-ciudad-de-mexico-_JM
Casa,Venta Casas San Juan De Aragon I Seccion T-df0237-0013,3700000,6,3,200,NTE 78-A,"NTE 78-A, San Juan De Aragón I Sección, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2740243075-venta-casas-san-juan-de-aragon-i-seccion-t-df0237-0013-_JM
Edificio,,19000000,,,1200,Santa Rosa,"Santa Rosa, Gustavo A. Madero, Distrito Federal",False,https://inmueble.mercadolibre.com.mx/MLM-4255604128-edificio-venta-gustavo-a-madero-santa-rosa-calle-14-a-cev539986-_JM
Departamento,Venta Departamentos Lindavista Norte T-df0085-0596,3200000,3,2,94,AVENIDA MIGUEL BERNARD,"AVENIDA MIGUEL BERNARD, Lindavista Norte, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2738846051-venta-departamentos-lindavista-norte-t-df0085-0596-_JM
Casa,Venta Casas San Juan De Aragon Iii Seccion T-df0181-0234,4500000,3,2,110,PRIMERA CDA. 571,"PRIMERA CDA. 571, San Juan De Aragón III Sección, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2872549441-venta-casas-san-juan-de-aragon-iii-seccion-t-df0181-0234-_JM
Departamento,Venta Departamentos Granjas Modernas T-df0234-0029,900000,2,1,65,SAUCES 3,"SAUCES 3, Granjas Modernas, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2801027275-venta-departamentos-granjas-modernas-t-df0234-0029-_JM
Departamento,,4165465,2,2,73,CIENFUEGOS,"CIENFUEGOS, Lindavista Norte, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-5153919678-departamento-en-venta-en-lindavista-norte-gustavo-a-madero-ciudad-de-mexico-_JM
Departamento,,5850000,3,2,185,Siete Maravillas,"Siete Maravillas, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-5357408170-departamento-en-venta-siete-maravillas-gustavo-a-madero-_JM
Casa,,24000000,22,11,1381,Callao 773 Lt. 1 Mz. 109,"Callao 773 Lt. 1 Mz. 109, Colonia Lindavista Vallejo II Sección, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-5057854982-edificio-con-11-departamentos-en-venta-colonia-lindavista-gustavo-amadero-cdmx-_JM
Casa,,3100000,2,2,161,11119 Prudencia Griffel,"11119 Prudencia Griffel, Jorge Negrete, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-5030451488-casa-en-venta-jorge-negrete-gustavo-a-madero-11119-_JM
