titulo,precio,ubicacion,recamaras,banos,m2,url,datos_brutos
,"MXN4,700,000",,,,,https://casa.mercadolibre.com.mx/MLM-5235669228-venta-casas-villa-de-aragon-t-df0238-0047-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=38&type=item&tracking_id=e20e409b-0292-4bd1-a406-a23176d1cd68&price_drop=not_apply,"Casa en venta | Venta Casas Villa De Aragon T-df0238-0047 | MXN | 4,700,000 | 3 recámaras | 3 baños | 315 m² construidos | VILLA TENOCHTITLAN, Villa De Aragón, Gustavo A. Madero, Distrito Federal"
,"MXN5,000,000",,,,,https://casa.mercadolibre.com.mx/MLM-2865212867-casa-en-venta-en-sanjuan-de-aragon-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=39&type=item&tracking_id=e20e409b-0292-4bd1-a406-a23176d1cd68&price_drop=not_apply,"Casa en venta | Casa En Venta En Sanjuan De Aragon | MXN | 5,000,000 | 5 recámaras | 2 baños | 240 m² construidos | Avenida 585, San Juan De Aragón, Gustavo A. Madero, Distrito Federal"
,"MXN1,960,000",,,,,https://departamento.mercadolibre.com.mx/MLM-2831486415-venta-departamentos-vallejo-t-df0236-0045-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=40&type=item&tracking_id=e20e409b-0292-4bd1-a406-a23176d1cd68&price_drop=not_apply,"Departamento en venta | Venta Departamentos Vallejo T-df0236-0045 | MXN | 1,960,000 | 2 recámaras | 1 baño | 65 m² construidos | RICARDO BELL, Vallejo, Gustavo A. Madero, Distrito Federal"
,"MXN4,230,000",,,,,https://casa.mercadolibre.com.mx/MLM-4633827972-venta-de-casa-con-5-departamentos-en-magdalena-de-las-salinas-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=41&type=item&tracking_id=e20e409b-0292-4bd1-a406-a23176d1cd68&price_drop=not_apply,"Casa en venta | Venta De Casa Con 5 Departamentos En Magdalena De Las Salinas | MXN | 4,230,000 | 5 recámaras | 5 baños | 285 m² construidos | Magdalena De Las Salinas, Gustavo A. Madero, Distrito Federal"
,"MXN18,800,000",,,,,https://casa.mercadolibre.com.mx/MLM-5357408150-casa-en-venta-torres-lindavista-gustavo-a-madero-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=42&type=item&tracking_id=e20e409b-0292-4bd1-a406-a23176d1cd68&price_drop=not_apply,"Casa en venta | Casa En Venta Torres Lindavista, Gustavo A. Madero | MXN | 18,800,000 | 3 recámaras | 3 baños | 493 m² construidos | Torres Lindavista, Gustavo A. Madero, Distrito Federal"
,"MXN4,600,000",,,,,https://casa.mercadolibre.com.mx/MLM-2798056915-casa-en-venta-colonia-providencia-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=43&type=item&tracking_id=e20e409b-0292-4bd1-a406-a23176d1cd68&price_drop=not_apply,"Casa en venta | Casa En Venta Colonia Providencia | MXN | 4,600,000 | 5 baños | 373 m² construidos | Estado De Baja California Sur, Providencia, Gustavo A. Madero, Distrito Federal"
,"MXN4,998,000",,,,,https://casa.mercadolibre.com.mx/MLM-2740193031-casa-en-venta-en-colonia-cuchilla-del-tesoro-gustavo-a-madero-ciudad-de-mexico-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=44&type=item&tracking_id=e20e409b-0292-4bd1-a406-a23176d1cd68&price_drop=not_apply,"Casa en venta | Casa En Venta En Colonia Cuchilla Del Tesoro, Gustavo A. Madero, Ciudad De México | MXN | 4,998,000 | 5 recámaras | 3 baños | 400 m² construidos | Pte. 6 39, Cuchilla Del Tesoro, Gustavo A. Madero, Distrito Federal"
,"MXN4,500,000",,,,,https://terreno.mercadolibre.com.mx/MLM-5131852602-venta-de-terreno-casa-tipo-producto-3-departamentos-uso-mixto-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=45&type=item&tracking_id=e20e409b-0292-4bd1-a406-a23176d1cd68&price_drop=not_apply,"Terreno en venta | Venta De Terreno Casa Tipo Producto, 3 Departamentos., Uso Mixto | MXN | 4,500,000 | 226 m² de terreno | La Malinche, Gustavo A. Madero, Distrito Federal"
,"MXN9,200,000",,,,,https://casa.mercadolibre.com.mx/MLM-5203835520-venta-casas-lindavista-norte-t-df0085-0610-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=46&type=item&tracking_id=e20e409b-0292-4bd1-a406-a23176d1cd68&price_drop=not_apply,"Casa en venta | Venta Casas Lindavista Norte T-df0085-0610 | MXN | 9,200,000 | 4 recámaras | 4 baños | 210 m² construidos | AMBATO, Lindavista Norte, Gustavo A. Madero, Distrito Federal"
,"MXN2,720,000",,,,,https://departamento.mercadolibre.com.mx/MLM-4627271258-departamento-48m2-de-2-recamaras-2-banos-planta-baja-en-aragon-la-villa-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=47&type=item&tracking_id=e20e409b-0292-4bd1-a406-a23176d1cd68&price_drop=not_apply,"Departamento en venta | Departamento 48m2 De 2 Recamaras 2 Baños Planta Baja En Aragon La Villa | MXN | 2,720,000 | 2 recámaras | 2 baños | 48 m² construidos | Aragón La Villa, Gustavo A. Madero, Distrito Federal"
