SKU,Titulo,Renta_MXN,Area_m2,Recamaras,Banos,Estacionamientos,Ubicacion,Alcaldia,Pagina_Origen,URL
69992cdad35b8fe221bddfc4,Loft renta en Vitant Polanco,21000,51,1,1,0,"Lago alberto, Anáhuac i sección",Loft renta en Vitant Polanco,5,https://homie.mx/pub/69992cdad35b8fe221bddfc4
6792a2cae155b5003b783550,"Departamento de 1 recámara en renta, Toreo, Miguel Hidalgo.",21128,42,1,1,0,"Avenida ingenieros militares, Lomas de sotelo",Miguel Hidalgo.,5,https://homie.mx/pub/6792a2cae155b5003b783550
69992c4ad35b8fe221bddf7a,"Loft en renta en VITANT Lago Alberto, Miguel Hidalgo",21500,46,1,1,0,"Lago alberto, Anáhuac i sección",Miguel Hidalgo,5,https://homie.mx/pub/69992c4ad35b8fe221bddf7a
69992ec0d35b8fe221bde0b4,"Loft en renta en VITANT Lago Alberto, Miguel Hidalgo",21800,47,1,1,0,"Lago alberto, Anáhuac i sección",Miguel Hidalgo,5,https://homie.mx/pub/69992ec0d35b8fe221bde0b4
6792937406948c003ae47e37,"Depa de una recámara con amenidades increíbles - Calle Bucareli, Colonia Juárez",21934,39,1,1,0,"Bucareli, Juárez",Colonia Juárez,5,https://homie.mx/pub/6792937406948c003ae47e37
61804121a806730048886a1e,"Departamento en renta - Nonoalco, Benito Juárez",22500,64,2,2,0,"Avenida revolución, Nonoalco",Benito Juárez,5,https://homie.mx/pub/61804121a806730048886a1e
5d66e05ffa6afe6dd857f44e,"Espectacular loft de 115 mts en Colonia del Gas, Azcapotzalco.",23000,115,1,2,0,"Poniente 25-a, Colonia del gas",Azcapotzalco.,5,https://homie.mx/pub/5d66e05ffa6afe6dd857f44e
628597333444020041ccc1b1,"Departamento en renta en Granada, Miguel Hidalgo",23500,55,1,1,0,"Lago alberto, Granada",Miguel Hidalgo,5,https://homie.mx/pub/628597333444020041ccc1b1
6999061cd35b8fdea9f67c32,Loft en renta de 1 Recamara en Polanco,23750,54,1,1,0,"Lago alberto, Anáhuac i sección",Loft en renta de 1 Recamara en Polanco,5,https://homie.mx/pub/6999061cd35b8fdea9f67c32
68222d74697466003bd01cb2,"Studio en renta en Roma Sur, Ciudad de México",23930,36,1,1,0,"Avenida insurgentes sur, Roma sur",Studio en renta en Roma Sur,6,https://homie.mx/pub/68222d74697466003bd01cb2
