titulo,precio,ubicacion,recamaras,banos,m2,url,datos_brutos
,"MXN25,000",,,,,https://departamento.mercadolibre.com.mx/MLM-5346640890-departamento-en-renta-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=48&type=item&tracking_id=6135174e-5306-4346-a557-c80a343da1e4&price_drop=not_apply,"Departamento en renta | Departamento En Renta | MXN | 25,000 | 2 recámaras | 2 baños | 65 m² de terreno | Prolongación Paseo DE LA Reforma  319, Santa Fe, Alvaro Obregón, Distrito Federal"
,"MXN17,000",,,,,https://departamento.mercadolibre.com.mx/MLM-5341471916-departamento-en-renta-en-anahuac-i-seccion-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=1&type=item&tracking_id=f0ea8f71-6e24-4bc7-8d5d-3b2cbe752dde&price_drop=not_apply,"Departamento en renta | Departamento En Renta En Anáhuac I Sección | pulppo | MXN | 17,000 | 2 recámaras | 1 baño | 70 m² construidos | Lago Zirahuen 0, Miguel Hidalgo, Distrito Federal"
,"MXN70,000",,,,,https://departamento.mercadolibre.com.mx/MLM-4874074872-departamento-en-renta-en-jardines-en-la-montana-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=2&type=item&tracking_id=f0ea8f71-6e24-4bc7-8d5d-3b2cbe752dde&price_drop=not_apply,"Departamento en renta | Departamento En Renta En Jardines En La Montaña | RAYO VENDE | MXN | 70,000 | 2 recámaras | 2 baños | 339 m² construidos | Jardines En La Montaña, Tlalpan, Distrito Federal"
,"MXN21,000",,,,,https://departamento.mercadolibre.com.mx/MLM-2852688259-departamentos-nuevos-tipo-loft-1-2-y-3-recamaras-con-amenidades-sin-aval-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=3&type=item&tracking_id=f0ea8f71-6e24-4bc7-8d5d-3b2cbe752dde&price_drop=false,"Departamento en renta | Departamentos Nuevos Tipo Loft, 1, 2 Y 3 Recámaras, Con Amenidades, Sin Aval. | MXN | 21,000 | 1 recámara | 1 baño | 50 m² construidos | San Rafael, Cuauhtémoc, Distrito Federal"
,"MXN45,000",,,,,https://departamento.mercadolibre.com.mx/MLM-5259244646-renta-departamento-santa-fe-av-santa-fe-3-recamaras-2-banos-amenidades-vigilancia-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=4&type=item&tracking_id=f0ea8f71-6e24-4bc7-8d5d-3b2cbe752dde&price_drop=not_apply,"Departamento en renta | Renta Departamento Santa Fe Av Santa Fe 3 Recamaras 2 Baños Amenidades Vigilancia | MXN | 45,000 | 3 recámaras | 2 baños | 138 m² construidos | Av Santa Fe Sn, Santa Fe, Alvaro Obregón, Distrito Federal"
,"MXN40,000",,,,,https://departamento.mercadolibre.com.mx/MLM-5187036364-renta-de-departamento-en-terre-santa-fe-alvaro-obregon-eg80-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=5&type=item&tracking_id=f0ea8f71-6e24-4bc7-8d5d-3b2cbe752dde&price_drop=not_apply,"Departamento en renta | Renta De Departamento En Terre, Santa Fe, Alvaro Obregon. Eg80 | MXN | 40,000 | 3 recámaras | 2 baños | 148 m² construidos | Santa Fe, Alvaro Obregón, Distrito Federal"
,"MXN38,000",,,,,https://departamento.mercadolibre.com.mx/MLM-2865092975-renta-departamento-mitikah-amueblado-bodega-amenidades-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=6&type=item&tracking_id=f0ea8f71-6e24-4bc7-8d5d-3b2cbe752dde&price_drop=not_apply,"Departamento en renta | Renta Departamento Mitikah Amueblado Bodega Amenidades | MXN | 38,000 | 2 recámaras | 2 baños | 70 m² construidos | Mitikah Sn, Xoco, Benito Juárez, Distrito Federal"
,"MXN40,000",,,,,https://departamento.mercadolibre.com.mx/MLM-4948108550-departamento-en-renta-roma-norte-alcaldia-cuauhtemoc-spa186-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=7&type=item&tracking_id=f0ea8f71-6e24-4bc7-8d5d-3b2cbe752dde&price_drop=not_apply,"Departamento en renta | Departamento En Renta Roma Norte Alcaldia Cuauhtémoc Spa186 | MXN | 40,000 | 3 recámaras | 2 baños | 108 m² construidos | Roma Norte, Cuauhtémoc, Distrito Federal"
,"MXN18,600",,,,,https://departamento.mercadolibre.com.mx/MLM-2907748343-renta-departamento-en-colonia-moctezuma-rg4-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=8&type=item&tracking_id=f0ea8f71-6e24-4bc7-8d5d-3b2cbe752dde&price_drop=not_apply,"Departamento en renta | Renta Departamento En Colonia Moctezuma Rg4 | MXN | 18,600 | 2 recámaras | 2 baños | 65 m² construidos | Moctezuma 2a Seccion, Venustiano Carranza, Distrito Federal"
,"MXN28,000",,,,,https://departamento.mercadolibre.com.mx/MLM-5289061188-departamento-en-renta-en-tlalpan-centro-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=9&type=item&tracking_id=f0ea8f71-6e24-4bc7-8d5d-3b2cbe752dde&price_drop=not_apply,"Departamento en renta | Departamento En Renta En Tlalpan Centro | pulppo | MXN | 28,000 | 2 recámaras | 3 baños | 155 m² construidos | Calvario 0, Tlalpan, Distrito Federal"
