SKU,Titulo,Renta_MXN,Area_m2,Recamaras,Banos,Estacionamientos,Ubicacion,Alcaldia,Pagina_Origen,URL
41032-73-eb93f93f3ca6-da86-19c4469-82aa-7171,Departamento en Renta en Contadero,22500,56,2,1,1,"Contadero, Cuajimalpa de Morelos, Ciudad de México",Cuajimalpa de Morelos,20,https://www.lamudi.com.mx/detalle/41032-73-eb93f93f3ca6-da86-19c4469-82aa-7171
41032-73-bf9a2a33c85e-56de-19cdfbf-a326-77f8,Departamento en Renta en Polanco,6000,222,3,3,2,"Polanco, Miguel Hidalgo, Ciudad de México",Miguel Hidalgo,20,https://www.lamudi.com.mx/detalle/41032-73-bf9a2a33c85e-56de-19cdfbf-a326-77f8
41032-73-485ee7e1a9d3-9f3c-19c11dc-b9aa-7490,Departamento en Renta en Letrán Valle,11500,40,1,1,0,"Letrán Valle, Benito Juárez, Ciudad de México",Benito Juárez,20,https://www.lamudi.com.mx/detalle/41032-73-485ee7e1a9d3-9f3c-19c11dc-b9aa-7490
41032-73-895ce4c7e967-9115-44f67c29-851c-3832,Departamento en Renta en Cuauhtémoc,52000,120,2,2,1,"Cuauhtémoc, Cuauhtémoc, Ciudad de México",Cuauhtémoc,20,https://www.lamudi.com.mx/detalle/41032-73-895ce4c7e967-9115-44f67c29-851c-3832
41032-73-e57ccb41a9df-dcf9-19e4741-a6b6-7646,Departamento en Renta en Ex Hacienda Coapa,16000,75,3,1,1,"Ex Hacienda Coapa, Tlalpan, Ciudad de México",Tlalpan,20,https://www.lamudi.com.mx/detalle/41032-73-e57ccb41a9df-dcf9-19e4741-a6b6-7646
41032-73-eb680527c2c2-1c3c-19df97c-881c-741e,Departamento en Renta en Hipódromo,63000,123,2,2,3,"Hipódromo, Cuauhtémoc, Ciudad de México",Cuauhtémoc,20,https://www.lamudi.com.mx/detalle/41032-73-eb680527c2c2-1c3c-19df97c-881c-741e
41032-73-3ba39a8da93a-2c4-19e412e-82fc-7092,Departamento en Renta en Morelos,15000,49,2,1,1,"Morelos, Cuauhtémoc, Ciudad de México",Cuauhtémoc,20,https://www.lamudi.com.mx/detalle/41032-73-3ba39a8da93a-2c4-19e412e-82fc-7092
41032-73-2ce301b46b7-a057-19e033f-b83e-7760,Departamento en Renta en Hipódromo,63000,123,2,2,3,"Hipódromo, Cuauhtémoc, Ciudad de México",Cuauhtémoc,20,https://www.lamudi.com.mx/detalle/41032-73-2ce301b46b7-a057-19e033f-b83e-7760
41032-73-a1239a26f11b-ec20-19e2724-8e28-7483,Departamento en Renta en Lomas de Chapultepec,31000,103,2,1,1,"Lomas de Chapultepec, Miguel Hidalgo, Ciudad de México",Miguel Hidalgo,20,https://www.lamudi.com.mx/detalle/41032-73-a1239a26f11b-ec20-19e2724-8e28-7483
41032-73-7e4507523d54-b814-19e24bd-a04b-7146,Departamento en Renta en Hipódromo,63000,123,2,2,3,"Hipódromo, Cuauhtémoc, Ciudad de México",Cuauhtémoc,20,https://www.lamudi.com.mx/detalle/41032-73-7e4507523d54-b814-19e24bd-a04b-7146
41032-73-f212bb93fc32-3193-19e2720-b1d8-7691,Departamento en Renta en Hipódromo,63000,123,2,2,3,"Hipódromo, Cuauhtémoc, Ciudad de México",Cuauhtémoc,20,https://www.lamudi.com.mx/detalle/41032-73-f212bb93fc32-3193-19e2720-b1d8-7691
41032-73-1ca2eda50159-a76a-19e087d-8304-724d,Departamento en Renta en Hipódromo,63000,123,2,2,3,"Hipódromo, Cuauhtémoc, Ciudad de México",Cuauhtémoc,20,https://www.lamudi.com.mx/detalle/41032-73-1ca2eda50159-a76a-19e087d-8304-724d
41032-73-830b00ab0e30-3bde-19e40f6-b98a-7164,Departamento en Renta en Los Girasoles,16000,75,2,1,1,"Los Girasoles, Coyoacán, Ciudad de México",Coyoacán,20,https://www.lamudi.com.mx/detalle/41032-73-830b00ab0e30-3bde-19e40f6-b98a-7164
41032-73-bed88422dd05-73a4-19e24c2-9927-7362,Departamento en Renta en Lomas de Chapultepec,31000,103,2,1,1,"Lomas de Chapultepec, Miguel Hidalgo, Ciudad de México",Miguel Hidalgo,20,https://www.lamudi.com.mx/detalle/41032-73-bed88422dd05-73a4-19e24c2-9927-7362
