latitud,longitud,alcaldia,price,price_m2_raw,area,rooms,bathrooms,is_luxury,tipologia,cuadrante_soc,gentrification_index,marginalidad_score,seg_transit,accesibilidad_transit
19.43353,-99.190915,Miguel Hidalgo,84000.0,323.0769230769231,260.0,3,3.0,0,Amplio_Ejecutivo,BajaMarg_AltaGentrif,0.8585849060226639,1.0,Alta_Accesibilidad,444.2627964713553
19.4326296,-99.1331785,Cuauhtémoc,37100.0,475.64102564102564,78.0,2,2.0,0,Familiar_Chico,AltaMarg_AltaGentrif,0.830531038273375,3.0,Alta_Accesibilidad,331.00531079168263
19.3788814,-99.1587376,Benito Juárez,44000.0,275.0,160.0,3,2.0,0,Amplio_Ejecutivo,BajaMarg_AltaGentrif,0.933319961735651,1.0,Alta_Accesibilidad,275.50314139717716
19.4497398,-99.2150977,Miguel Hidalgo,21500.0,413.46153846153845,52.0,1,1.0,0,Familiar_Chico,BajaMarg_AltaGentrif,0.8585849060226639,1.0,Baja_Accesibilidad,2135.6203207866383
19.3905208,-99.1579016,Benito Juárez,30000.0,352.94117647058823,85.0,2,2.0,0,Familiar_Chico,AltaMarg_AltaGentrif,0.933319961735651,3.0,Alta_Accesibilidad,537.3083925162549
19.4482601,-99.2187752,Miguel Hidalgo,31500.0,379.51807228915663,83.0,2,2.0,0,Familiar_Chico,BajaMarg_AltaGentrif,0.8585849060226639,1.0,Baja_Accesibilidad,2336.9005952615985
19.442902,-99.2014215,Miguel Hidalgo,21500.0,413.46153846153845,52.0,1,1.0,0,Familiar_Chico,BajaMarg_AltaGentrif,0.8585849060226639,1.0,Media_Accesibilidad,1432.692904874115
19.4402557,-99.1926322,Miguel Hidalgo,34500.0,297.41379310344826,116.0,2,2.0,0,Amplio_Ejecutivo,BajaMarg_AltaGentrif,0.8585849060226639,1.0,Media_Accesibilidad,926.8825185861144
19.3370667,-99.2021996,Álvaro Obregón,40000.0,275.86206896551727,145.0,3,3.0,0,Amplio_Ejecutivo,BajaMarg_BajaGentrif,0.0,1.0,Baja_Accesibilidad,1882.7732555829143
19.3601941,-99.1668669,Benito Juárez,32900.0,411.25,80.0,1,2.0,0,Familiar_Chico,BajaMarg_AltaGentrif,0.933319961735651,1.0,Media_Accesibilidad,863.2139207818312
19.3601941,-99.1668669,Benito Juárez,33500.0,408.5365853658537,82.0,1,1.0,0,Familiar_Chico,BajaMarg_AltaGentrif,0.933319961735651,1.0,Media_Accesibilidad,863.2139207818312
19.442902,-99.2014215,Miguel Hidalgo,35900.0,505.63380281690144,71.0,1,1.0,0,Familiar_Chico,BajaMarg_AltaGentrif,0.8585849060226639,1.0,Media_Accesibilidad,1432.692904874115
19.4025902,-99.1559072,Benito Juárez,20000.0,416.6666666666667,48.0,1,1.0,0,Studio/Micro,BajaMarg_AltaGentrif,0.933319961735651,1.0,Alta_Accesibilidad,497.3348020436638
19.3915073,-99.1855297,Benito Juárez,17000.0,425.0,40.0,1,1.0,0,Studio/Micro,AltaMarg_AltaGentrif,0.933319961735651,2.0,Media_Accesibilidad,690.3628252658054
19.3915073,-99.1855297,Benito Juárez,18500.0,370.0,50.0,1,1.0,0,Familiar_Chico,AltaMarg_AltaGentrif,0.933319961735651,2.0,Media_Accesibilidad,690.3628252658054
19.3915073,-99.1855297,Benito Juárez,25100.0,386.15384615384613,65.0,2,2.0,0,Familiar_Chico,AltaMarg_AltaGentrif,0.933319961735651,2.0,Media_Accesibilidad,690.3628252658054
19.3539685,-99.2171906,Las Aguilas,21000.0,198.11320754716982,106.0,3,3.0,0,Amplio_Ejecutivo,AltaMarg_AltaGentrif,0.830531038273375,5.0,Baja_Accesibilidad,3167.521251152914
19.4113686,-99.0647261,Agrícola Pantitlan,3500.0,175.0,20.0,1,1.0,0,Studio/Micro,AltaMarg_AltaGentrif,0.830531038273375,4.0,Media_Accesibilidad,980.6471059992798
19.2778085,-99.2049087,Miguel Hidalgo,14300.0,143.0,100.0,3,2.0,0,Familiar_Grande,AltaMarg_AltaGentrif,0.8585849060226639,5.0,Baja_Accesibilidad,4691.826366846455
19.4497398,-99.2150977,Miguel Hidalgo,17400.0,446.15384615384613,39.0,1,1.0,0,Studio/Micro,BajaMarg_AltaGentrif,0.8585849060226639,1.0,Baja_Accesibilidad,2135.6203207866383
19.3905208,-99.1579016,Narvarte Poniente,15000.0,230.76923076923077,65.0,2,1.0,0,Familiar_Chico,AltaMarg_AltaGentrif,0.830531038273375,3.0,Alta_Accesibilidad,537.3083925162549
19.3581682,-99.272261,Cuajimalpa de Morelos,16700.0,287.9310344827586,58.0,1,1.0,0,Familiar_Chico,BajaMarg_BajaGentrif,0.49427437331671703,1.0,Baja_Accesibilidad,8801.23140399282
19.4326,-99.1332,Sm Alc,19500.0,342.10526315789474,57.0,2,2.0,0,Familiar_Chico,AltaMarg_AltaGentrif,0.830531038273375,3.0,Alta_Accesibilidad,330.46776435848415
19.386924,-99.1636016,Benito Juárez,91000.0,393.93939393939394,231.0,2,2.0,0,Amplio_Ejecutivo,AltaMarg_AltaGentrif,0.933319961735651,3.0,Media_Accesibilidad,884.8120022581899
19.2759456,-99.2185154,Tlalpan,21000.0,210.0,100.0,1,1.0,0,Familiar_Chico,AltaMarg_BajaGentrif,0.3919311241687132,4.0,Baja_Accesibilidad,5788.03439803215
19.3854613,-99.1782191,Nápoles,15500.0,387.5,40.0,1,1.0,0,Studio/Micro,BajaMarg_AltaGentrif,0.830531038273375,1.0,Media_Accesibilidad,799.1945981168719
19.4330498,-99.192582,Polanco,90000.0,450.0,200.0,3,2.0,0,Amplio_Ejecutivo,BajaMarg_AltaGentrif,0.830531038273375,1.0,Alta_Accesibilidad,539.5581565209809
19.4326,-99.1332,Gral Anaya,25000.0,263.1578947368421,95.0,2,2.0,0,Familiar_Chico,AltaMarg_AltaGentrif,0.830531038273375,3.0,Alta_Accesibilidad,330.46776435848415
19.4172708,-99.1094928,500,19500.0,319.672131147541,61.0,2,2.0,0,Familiar_Chico,AltaMarg_AltaGentrif,0.830531038273375,2.0,Media_Accesibilidad,670.2705996240836
19.3862605,-99.0852744,Paseos De Churubusco,19500.0,130.0,150.0,2,2.0,0,Amplio_Ejecutivo,BajaMarg_AltaGentrif,0.830531038273375,1.0,Media_Accesibilidad,1615.3744308938162
19.4326296,-99.1331785,Cuauhtémoc,20300.0,398.03921568627453,51.0,1,1.0,0,Familiar_Chico,AltaMarg_AltaGentrif,0.830531038273375,3.0,Alta_Accesibilidad,331.00531079168263
19.4332704,-99.1476839,Cuauhtémoc,19200.0,505.2631578947368,38.0,1,1.0,0,Studio/Micro,BajaMarg_AltaGentrif,0.830531038273375,1.0,Alta_Accesibilidad,135.35499198714845
19.3820125,-99.1713523,Tlacoquemécatl Del Valle,30000.0,333.3333333333333,90.0,2,1.0,0,Familiar_Chico,BajaMarg_AltaGentrif,0.830531038273375,1.0,Media_Accesibilidad,918.0036087500869
19.4326,-99.1332,Lomas De Chapultepec Ii Sección,60000.0,196.72131147540983,305.0,3,2.0,0,Amplio_Ejecutivo,AltaMarg_AltaGentrif,0.830531038273375,3.0,Alta_Accesibilidad,330.46776435848415
19.3608547,-99.2841662,Ampliación El Yaqui,31500.0,384.1463414634146,82.0,2,2.0,0,Familiar_Chico,BajaMarg_AltaGentrif,0.830531038273375,1.0,Baja_Accesibilidad,9942.39893145179
19.3209587,-99.2203152,San Jerónimo Aculco,3500.0,33.333333333333336,105.0,3,2.0,0,Amplio_Ejecutivo,BajaMarg_AltaGentrif,0.830531038273375,1.0,Baja_Accesibilidad,4138.475307858785
19.4315509,-99.1751022,Anzures,43000.0,438.7755102040816,98.0,3,2.0,0,Familiar_Grande,BajaMarg_AltaGentrif,0.830531038273375,1.0,Media_Accesibilidad,922.6013313469306
19.386924,-99.1636016,Benito Juárez,30000.0,333.3333333333333,90.0,2,2.0,0,Familiar_Chico,AltaMarg_AltaGentrif,0.933319961735651,3.0,Media_Accesibilidad,884.8120022581899
19.3805937,-99.1555027,Vértiz Narvarte,26000.0,273.6842105263158,95.0,2,2.0,0,Familiar_Chico,AltaMarg_AltaGentrif,0.830531038273375,2.0,Alta_Accesibilidad,480.7520570988272
19.4066741,-99.1789079,Hipódromo Condesa,36000.0,200.0,180.0,4,2.0,0,Amplio_Familiar,AltaMarg_AltaGentrif,0.830531038273375,2.0,Alta_Accesibilidad,373.1076069203072
19.4326,-99.1332,Roma Nte.,23000.0,383.3333333333333,60.0,1,1.0,0,Familiar_Chico,AltaMarg_AltaGentrif,0.830531038273375,3.0,Alta_Accesibilidad,330.46776435848415
19.4326296,-99.1331785,Cuauhtémoc,30700.0,458.2089552238806,67.0,2,2.0,0,Familiar_Chico,AltaMarg_AltaGentrif,0.830531038273375,3.0,Alta_Accesibilidad,331.00531079168263
19.3919332,-99.1628933,Narvarte Poniente,28000.0,294.7368421052632,95.0,2,2.0,0,Familiar_Chico,AltaMarg_AltaGentrif,0.830531038273375,2.0,Media_Accesibilidad,929.4096806091984
