source,title,location,renta_mensual,rooms,bathrooms,parking_spaces,area,antiguedad,alcaldia,colonia_o_municipio,latitud,longitud,url,price,alc,cat_mean_valor_suelo_200m,cat_mean_vus_200m,cat_mean_antiguedad_200m,cat_std_valor_suelo_200m,cat_mean_ratio_construccion_200m,cat_density_predios_200m,dist_metro_m,density_metro,dist_tren_m,density_tren,dist_trole_m,density_trole,dist_cable_m,density_cable,dist_metrobus_m,density_metrobus,comercio_density,marginalidad_score,pct_migrantes_turistas,dist_ciclovia_m,densidad_ciclovia_15m,dist_area_verde_m,densidad_parques_15m,dist_salud_m,acceso_salud_15m,dist_escuela_m,acceso_educacion_15m,score_15min,prox_ciclovia,prox_parque,prox_salud,prox_escuela,uso_mixto,price_m2_raw,colonia_norm,colonia_price_enc,ratio_precio_vecinal,dist_nearest_subcenter_m,dist_subcenter_log,listing_density_local,listing_density_log,gentrification_index,text_svd_0,text_svd_1,text_svd_2,text_svd_3,text_svd_4,spatial_lag_price,precio_vecinal_local,lag_x_area,is_luxury,area_x_marginalidad,area_X_gentrif,gentrif_x_metro,15min_X_gentrif,verde_marginalidad_ratio,salud_marginalidad_ratio,educacion_marginalidad_ratio,cluster,estrato_num,precio_predicho,gentrif_local_presion,gentrif_map_score,error_pct,segmento
mercadolibre_rentas,Departamento en Renta,"Roma Norte, Cuauhtémoc, Distrito Federal",47000.0,2,2.0,1,107.0,30.0,Cuauhtémoc,Roma Norte,19.4183227,-99.1625655,https://departamento.mercadolibre.com.mx/MLM-5360846582-renta-departamento-en-la-roma-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=1&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10,47000.0,cuauhtemoc,861299.6429130039,7937.219271781533,40.35630689206762,1855613.4097203733,4.030295553783887,769,6.389489427873109,0,9.057169145013647,0,6.03241419641958,0,8.036031048583354,0,5.472664652091214,3,3.4965075614664802,2.0,0.10795714150509228,4.090053974081723,339,4.51438845906317,87,7.17787886098137,0,4.7840133018385576,47,0.8808193668528864,0.8891527531670292,0.8347329680947208,0.1946780839812499,0.8206661801819896,0.0,439.25233644859816,"roma norte, cuauhtemoc, distrito federal",6.279551237322834,0.9722118164879424,1130.1906873793807,7.031026062593729,201,5.308267697401205,0.830531038273375,0.2748102266834191,-0.07368248821929957,0.2886917556911345,-0.3717577772974582,-0.11340842761235748,5.923463355134565,384.3290281467108,27.734432747801552,0,9.36426245424844,88.86682109525113,0.0,0.7315478232836246,3.4011973816621555,0.0,2.8134107167600364,5,5,53472.322960174955,0.5439869467148973,0.7588950153837556,13.770899912335882,Estandar
mercadolibre_rentas,Departamento en Renta,"Hipódromo, Cuauhtémoc, Distrito Federal",59000.0,3,2.0,2,190.0,30.0,Cuauhtémoc,Hipódromo,19.4093714,-99.1712126,https://departamento.mercadolibre.com.mx/MLM-2940825799-renta-depto-condesa-con-balcon-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=2&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10,59000.0,cuauhtemoc,437859.6135187444,6416.628196286472,43.95932802829355,708070.4801154438,4.329652329199298,1131,6.163986629805619,1,8.981446576605315,0,6.634804699887476,0,7.680319262688332,0,6.034817957188409,2,2.995732273553991,2.0,0.10795714150509228,4.961217445467908,324,3.1220724150001464,113,5.668403609595149,1,4.334926282385956,70,0.9478584729981379,0.7531167599037235,0.9575410162680407,0.6971777569301206,0.8820273441612821,0.0,310.5263157894737,"hipodromo, cuauhtemoc, distrito federal",6.153140339778075,0.6492822830748155,553.8665034468268,6.318727550483371,276,5.6240175061873385,0.830531038273375,0.2514423017514738,-0.07148340108853468,0.21703273768329742,-0.27520278521455754,-0.046163762113064485,5.866912579480099,371.1065923596629,30.814629045875833,0,10.50454685609326,157.80089727194127,0.830531038273375,0.7872258817153592,3.654977902438255,0.2876820724517809,3.1918471524802814,5,5,56490.50988805682,0.4343442146776385,0.7314843323744409,-4.253373070369227,Estandar
mercadolibre_rentas,Departamento en Renta,"Yosemite, Nápoles, Ciudad De México, Nápoles, Benito Juárez, Distrito Federal",37500.0,3,3.0,2,125.0,30.0,Nápoles,Yosemite,19.3964758,-99.1733421,https://departamento.mercadolibre.com.mx/MLM-2806496705-rento-departamento-amueblado-tres-recamaras-col-napoles-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=3&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10&price_drop=not_apply,37500.0,napoles,622983.0210641152,10175.710938271604,34.306172839506175,1561225.1862447779,5.5903613554117,1215,7.058954367243626,0,8.822637275522014,0,7.698555034957304,0,7.87963997270984,0,5.662041795765806,2,2.833213344056216,2.0,0.0,5.105767600443136,315,5.331914789984346,80,7.1152216619153315,0,5.871938438899493,76,0.8770949720670391,0.7204053012278298,0.662544683625044,0.21503694346146854,0.5543861054401111,0.0,300.0,"yosemite, napoles, ciudad de mexico, napoles, benito juarez, distrito federal",5.719706584760882,0.6870228850300103,954.728369942081,6.862473740818549,191,5.2574953720277815,0.830531038273375,0.31942292907822734,-0.1148927125513696,0.33207888488580845,0.044151881268138266,-0.25323999835509003,5.794742724532332,333.1140619583061,28.02500939409443,0,9.672563813902956,103.81637978417189,0.0,0.7284545978151948,3.3202283191284883,0.0,3.270835563798912,5,5,30552.896140841523,0.44080371774131616,0.7330992081403602,-18.525610286149107,Estandar
mercadolibre_rentas,Departamento en Renta,"Polanco, Miguel Hidalgo, Distrito Federal",10000.0,3,4.0,2,400.0,30.0,Miguel Hidalgo,Polanco,19.43353,-99.190915,https://departamento.mercadolibre.com.mx/MLM-5235525462-departamento-ph-en-renta-torre-nivada-polanco-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=4&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10&price_drop=not_apply,10000.0,miguel hidalgo,791188.978602096,19314.67764478764,32.92057363485935,1914058.627755944,7.001524948654325,1813,1.3274016543843066,1,9.329512578775262,0,6.776684357193365,0,7.726925917662494,0,6.794758526083092,0,2.6390573296152584,1.0,0.13627761829254784,3.674136585480062,153,4.235064672380859,143,7.554030940140338,0,5.036990512537455,49,0.6443202979515829,0.9260479887005438,0.8727271713183822,0.09215577124989555,0.7749089577118731,0.0,25.0,"polanco, miguel hidalgo, distrito federal",6.029547640792996,0.04687499912109377,537.0099797520274,6.287877109714699,473,6.161207321695077,0.8585849060226639,0.6609577008722799,-0.45900899912827914,-0.4465708426842433,-0.11958963136667511,0.09380693842386345,5.499942248321655,311.1348930133638,32.96644168885377,0,5.993961427306569,343.43396240906554,0.8585849060226639,0.5532036824652545,4.283586561860629,0.0,3.2386784521643803,5,5,39877.82302161063,0.08225868332304508,0.6645033503477592,298.7782299173281,Estandar
mercadolibre_rentas,Departamento en Renta,"Carr. México - Toluca 5860, Contadero, Ciudad De México, Contadero, Cuajimalpa De Morelos, Distrito Federal",36000.0,3,2.0,1,121.0,30.0,Contadero,Carr. México - Toluca 5860,19.3465983,-99.2993588,https://departamento.mercadolibre.com.mx/MLM-5351945748-rento-departamento-stampa-contadero-3rec-semiamueblado-amenidades-de-lujo-vive-en-un-resort-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=5&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10&price_drop=not_apply,36000.0,contadero,710178.7462613066,2153.9500000000007,24.698492462311556,1370959.139987721,1.9166009887445863,199,9.365707651184586,0,9.70445455501577,0,9.34900884639061,0,9.015248299193182,0,9.350264800390885,0,1.6094379124341003,1.0,0.0,7.919842891192748,0,5.978072166136904,13,5.335014100572417,2,5.039526624742284,33,0.0893854748603352,0.004084003570374981,0.4550456577451975,0.7725221535464867,0.7744040472375927,0.0,297.5206611570248,"carr. mexico - toluca 5860, contadero, ciudad de mexico, contadero, cuajimalpa de morelos, distrito federal",5.707110264748875,0.9548337191162533,3191.520430060301,8.068565987278639,58,4.07753744390572,0.830531038273375,0.2379818076777858,-0.08538037132817566,0.2766161214577171,0.24584966699765912,0.18968926943969106,5.7382618805375385,327.09277845644885,27.56673083429297,0,4.804021044733257,100.49425563107837,0.0,0.07423741124231285,2.0149030205422647,0.6931471805599453,2.8622008809294686,4,4,36417.301314696306,0.4699930119472876,0.7403965316918532,1.1591703182788575,Estandar
mercadolibre_rentas,Departamento en Renta,"Polanco, Miguel Hidalgo, Distrito Federal",75000.0,2,2.0,2,156.0,30.0,Miguel Hidalgo,Polanco,19.43353,-99.190915,https://departamento.mercadolibre.com.mx/MLM-2788153335-departamento-amueblado-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=6&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10&price_drop=not_apply,75000.0,miguel hidalgo,791188.978602096,19314.67764478764,32.92057363485935,1914058.627755944,7.001524948654325,1813,1.3274016543843066,1,9.329512578775262,0,6.776684357193365,0,7.726925917662494,0,6.794758526083092,0,2.6390573296152584,1.0,0.13627761829254784,3.674136585480062,153,4.235064672380859,143,7.554030940140338,0,5.036990512537455,49,0.6443202979515829,0.9260479887005438,0.8727271713183822,0.09215577124989555,0.7749089577118731,0.0,480.7692307692308,"polanco, miguel hidalgo, distrito federal",6.020873545138276,0.9014422907902647,537.0099797520274,6.287877109714699,473,6.161207321695077,0.8585849060226639,0.6609577008722799,-0.45900899912827914,-0.4465708426842433,-0.11958963136667511,0.09380693842386345,5.499942248321655,311.1348930133638,27.809059922734306,0,5.056245805348308,133.93924533953557,0.8585849060226639,0.5532036824652545,4.283586561860629,0.0,3.2386784521643803,5,5,124474.05879133783,0.6328504676412632,0.8021512964273136,65.96541171298837,Estandar
mercadolibre_rentas,Departamento en Renta,"Av. Cuauhtémoc 600 - 900 B, Narvarte Poniente, Ciudad De México, Narvarte, Benito Juárez, Distrito Federal",19500.0,3,2.0,1,97.0,30.0,Narvarte Poniente,Av. Cuauhtémoc 600 - 900 B,19.3905208,-99.1579016,https://departamento.mercadolibre.com.mx/MLM-5360864436-departamento-de-3-habitaciones-en-narvarte-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=7&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10,19500.0,narvarte poniente,336279.6384031617,5010.029078590786,43.57091237579043,510477.2326604559,4.478729578725613,1107,6.190565037610881,1,8.612043355107113,0,7.062124325629538,0,8.37027816656221,0,5.31260125779909,2,2.833213344056216,3.0,0.0,4.099170518565774,189,5.032585629246543,112,6.414016587557547,1,5.023990843631831,72,0.6983240223463687,0.8881803014710198,0.7373755838646181,0.4668835958782457,0.7774821319190642,0.0,201.03092783505156,"av. cuauhtemoc 600 - 900 b, narvarte poniente, ciudad de mexico, narvarte, benito juarez, distrito federal",5.445742181668765,0.6915463679633823,1975.6867176266953,7.589177347096848,113,4.736198448394496,0.830531038273375,0.24747755441228703,-0.08070050166243119,0.2797737015844214,0.012255374520882685,-0.20588814570304803,5.642284953840989,314.41473417270566,25.869693018753228,0,13.754902436011717,80.56151071251738,0.830531038273375,0.5799797753305691,3.367295829986474,0.22314355131420976,2.9444389791664403,1,1,29272.724243252043,0.4032945433493874,0.7237219145423781,50.11653455507893,Estandar
mercadolibre_rentas,Departamento en Renta,"Hegel 140, Polanco, Granada, Ciudad De México, Polanco, Miguel Hidalgo, Distrito Federal",45000.0,2,2.0,1,120.0,30.0,Polanco,Hegel 140,19.4335653,-99.1880639,https://departamento.mercadolibre.com.mx/MLM-2937056055-renta-de-departamento-polanco-amueblado-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=8&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10,45000.0,polanco,964684.7853448087,13934.331772053081,42.28024980483997,2156340.297940968,4.705024826475801,1281,5.708298296203651,1,9.317536178439902,0,6.382414976225132,0,7.7405027839853515,0,6.944119056844009,0,2.70805020110221,1.0,0.0,3.644469399098044,150,3.767100880447447,145,7.675626515512237,0,4.994708304228617,47,0.638733705772812,0.9281843334560077,0.9189634159725781,0.06769676459330565,0.7831875166327525,0.0,375.0,"hegel 140, polanco, granada, ciudad de mexico, polanco, miguel hidalgo, distrito federal",5.719706584760882,0.9999999733333341,835.4372257628678,6.729151473693271,468,6.150602768446279,0.830531038273375,0.5324325741430797,-0.34997324872668356,-0.1708192072529447,0.17223938076877657,-0.08750409040568662,5.504321243330256,283.5478825643216,26.397571778690544,0,4.795790545596741,99.66372459280501,0.830531038273375,0.530488167835694,4.297285406218791,0.0,3.1986731175506815,5,5,52869.41649511568,0.5309751020134248,0.7556420542083875,17.48759220748204,Estandar
mercadolibre_rentas,Departamento en Renta,"Lomas De Los Angeles Del Pueblo Tetelpan, Alvaro Obregón, Distrito Federal",25000.0,2,2.0,1,119.0,30.0,Álvaro Obregón,Lomas De Los Angeles Del Pueblo Tetelpan,19.3906515,-99.1952423,https://departamento.mercadolibre.com.mx/MLM-5363879710-departamento-exterior-101-en-renta-desierto-de-los-leones-alvaro-obregon-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=9&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10,25000.0,alvaro obregon,1179663.1805399999,2243.29,44.53333333333333,5339913.648545734,1.0790511055340448,90,6.90393904155187,0,8.955069964802107,0,7.48401579629354,0,7.570052868341811,0,7.3298420354349805,0,2.5649493574615367,1.0,0.06015392281974709,4.813875978431968,45,4.722497789732629,108,6.059049993818782,2,5.065689354444456,45,0.37243947858473,0.7831613863091339,0.8001968243391104,0.5864247993331985,0.7691396191246394,0.0,210.08403361344537,"lomas de los angeles del pueblo tetelpan, alvaro obregon, distrito federal",5.719706584760882,0.9134088020841624,3061.4935854519927,8.0269847603045,52,3.970291913552122,0.0,0.22824937487032723,-0.04324700026125491,0.16520272292424187,-0.028792595540582153,0.1348662822995892,5.601447754007726,243.53327618179654,26.816884869937024,0,4.787491742782046,0.0,0.0,0.0,4.007333185232471,0.6931471805599453,3.1570004211501135,3,3,31529.589225389194,0.4727039897377929,0.11817599743444822,26.118356891109435,Estandar
mercadolibre_rentas,Departamento en Renta,"Del Valle Sur, Benito Juárez, Distrito Federal",60000.0,3,4.0,2,158.0,30.0,Benito Juárez,Del Valle Sur,19.3890898,-99.1743711,https://departamento.mercadolibre.com.mx/MLM-2941406237-departamento-en-renta-en-del-valle-sur-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=10&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10,60000.0,benito juarez,924707.7802550158,9238.641224920802,34.672650475184795,3618259.9193500355,4.9304460731425745,947,7.115380803089718,0,8.72559111225385,0,7.473901927160043,0,8.071466507786717,0,4.510077233097793,3,2.772588722239781,1.0,0.16636153721522526,3.836571838110721,249,4.939750920412985,85,7.282761281937331,0,5.301602254006054,55,0.7243947858472998,0.9132619746007321,0.7576976284679965,0.16243129183285085,0.7169397808706663,0.0,379.746835443038,"del valle sur, benito juarez, distrito federal",5.976162820858763,0.9315664328437135,1765.8706808489553,7.476965283930657,159,5.075173815233827,0.933319961735651,0.21690926866995985,-0.029504795845908566,0.20866097950275553,-0.18613904001003312,-0.12102469385255822,5.876969168452955,391.96933410465414,29.78979371428992,0,5.0689042022202315,147.46455395423285,0.0,0.676092113808507,3.7727609380946383,0.0,3.349904087274605,5,5,52363.33104071622,0.5044629878809169,0.8261057182719674,-12.727781596685,Estandar
mercadolibre_rentas,Departamento en Renta,"Luz Saviñon 900 - 1200, Narvarte Poniente, Ciudad De México, Narvarte Oriente, Benito Juárez, Distrito Federal",32000.0,2,2.0,1,120.0,30.0,Narvarte Poniente,Luz Saviñon 900 - 1200,19.3907336,-99.1562478,https://departamento.mercadolibre.com.mx/MLM-2950586277-departamento-en-renta-narvarte-con-roof-privado-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=11&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10,32000.0,narvarte poniente,326741.6522548853,5245.95992353441,43.87255734919286,524770.2021312183,4.496379940901548,1177,6.246171428195823,0,8.606039120711527,0,6.902590405911234,0,8.39989670833174,0,4.571119563316445,3,2.833213344056216,2.0,0.0,1.22216241051951,190,5.792463057002691,117,6.584964159953682,1,5.305295616204834,75,0.7132216014897579,0.9952224088713578,0.5201495369474202,0.404984547001135,0.7160531486689946,0.0,266.6666666666667,"luz saviñon 900 - 1200, narvarte poniente, ciudad de mexico, narvarte oriente, benito juarez, distrito federal",5.719706584760882,0.9696969344352632,2064.4217248224195,7.63308970963963,109,4.700480365792417,0.830531038273375,0.23175386472879453,-0.07018513683632867,0.23886714007420318,0.03491372019650393,-0.19334168236188962,5.577049508349055,313.2230681518985,26.746361304465353,0,9.591581091193483,99.66372459280501,0.0,0.592352677204288,3.6888794541139363,0.2876820724517809,3.258096538021482,1,1,26974.761771607944,0.47628599246454423,0.7419697768211673,-15.703869458817715,Estandar
