longitud,latitud,alcaldia,price,price_m2_raw,area,rooms,bathrooms,target_enc_colonia,ratio_precio_vecinal,gentrification_index,precio_predicho,error_pct
-99.1625655,19.4183227,Cuauhtémoc,47000.0,439.25233644859816,107.0,2,2.0,6.165382249166769,0.8771768775041217,0.830531038273375,35212.94894526685,-25.078832031347133
-99.1712126,19.4093714,Cuauhtémoc,59000.0,310.5263157894737,190.0,3,2.0,6.157150461146433,0.6987151338539928,0.830531038273375,15666.493067695137,-73.44662191916079
-99.1733421,19.3964758,Nápoles,37500.0,300.0,125.0,3,3.0,5.355998139832158,0.8321616000910476,0.5,17947.569818349137,-52.139813817735636
-99.190915,19.43353,Miguel Hidalgo,10000.0,25.0,400.0,3,4.0,5.693757651976524,0.04970861806436513,0.8585849060226639,58986.38082285952,489.86380822859525
-99.2993588,19.3465983,Contadero,36000.0,297.5206611570248,121.0,3,2.0,5.6924256403463325,0.889972783333627,0.5,26656.435787299906,-25.95434503527804
-99.190915,19.43353,Miguel Hidalgo,75000.0,480.7692307692308,156.0,2,2.0,5.662115438418716,0.9559349627762525,0.8585849060226639,21279.758069432046,-71.62698924075727
-99.1579016,19.3905208,Narvarte Poniente,19500.0,201.03092783505156,97.0,3,2.0,5.442453506239664,0.6720135170701103,0.5,29329.002113102448,50.40513904155102
-99.1880639,19.4335653,Polanco,45000.0,375.0,120.0,2,2.0,5.387554130623687,0.8843171781147814,0.5,67354.80871308672,49.67735269574827
-99.1952423,19.3906515,Álvaro Obregón,25000.0,210.08403361344537,119.0,2,2.0,5.3636798972579935,0.6849850394903898,0.0,28343.069211722628,13.372276846890513
-99.1743711,19.3890898,Benito Juárez,60000.0,379.746835443038,158.0,3,4.0,5.951170985154958,0.9287641549840221,0.933319961735651,31774.120182293616,-47.04313302951064
-99.1562478,19.3907336,Narvarte Poniente,32000.0,266.6666666666667,120.0,2,2.0,5.348932184786362,0.9037517895335634,0.5,63742.361490149735,99.19487965671793
-99.1962972,19.47925,Azcapotzalco,17900.0,223.75,80.0,2,2.0,5.364842047716611,1.0509210146205343,0.7799341145447056,82235.1937021499,359.41448995614473
-99.1200004,19.3043066,Coyoacán,16000.0,242.42424242424244,66.0,2,1.0,5.386374914318203,2.065501711924167,0.750956198657275,32071.44058715497,100.44650366971857
-99.1855297,19.3915073,Benito Juárez,20900.0,321.53846153846155,65.0,2,2.0,5.85154555754965,1.0399746057162331,0.933319961735651,36334.42776080334,73.84893665456143
-99.1526509,19.4462672,Cuauhtémoc,15000.0,294.11764705882354,51.0,2,1.0,5.956895050480636,1.2947655573328523,0.830531038273375,30190.191163051742,101.26794108701162
-99.190915,19.43353,Miguel Hidalgo,31000.0,484.375,64.0,1,1.0,5.6532420703453425,0.9631044749970743,0.8585849060226639,31901.309558563622,2.90745018891491
-99.1323717,19.3448515,Campestre Churubusco,17900.0,238.66666666666666,75.0,1,1.0,5.372284065590861,1.625080137629426,0.5,21159.240212162902,18.208045878005038
-99.1668669,19.3601941,Benito Juárez,70000.0,368.42105263157896,190.0,3,3.0,5.945519647524168,0.9663953137855107,0.933319961735651,18288.30075958018,-73.8738560577426
-99.2014215,19.442902,Miguel Hidalgo,16700.0,417.5,40.0,1,1.0,6.1723107190443365,0.8397859717040252,0.8585849060226639,18700.197828423414,11.977232505529424
-99.1668669,19.3601941,Benito Juárez,28900.0,425.0,68.0,1,1.0,5.930586287257037,1.1148060226882854,0.933319961735651,25751.435943719458,-10.894685315849626
-99.1539172,19.4360737,Cuauhtémoc,19800.0,638.7096774193549,31.0,1,1.0,5.985562439666533,1.4213228125515256,0.830531038273375,11526.45081825874,-41.785601927986164
-99.1668669,19.3601941,Benito Juárez,32000.0,470.5882352941176,68.0,1,1.0,5.938344895967403,1.2343872915579632,0.933319961735651,68717.50481661539,114.74220255192309
-99.1743711,19.3890898,Benito Juárez,58000.0,402.77777777777777,144.0,3,2.0,5.950859888968408,0.9850919810501826,0.933319961735651,34893.63200746234,-39.83856550437527
-99.1331785,19.4326296,Cuauhtémoc,19800.0,638.7096774193549,31.0,1,1.0,6.2134036224315015,1.5554834221165785,0.830531038273375,30689.29733848499,54.99645120446964
-99.1476839,19.4332704,Cuauhtémoc,31000.0,645.8333333333334,48.0,1,1.0,6.185810324176199,1.1897581973417153,0.830531038273375,26252.961982247853,-15.313025863716604
-99.2150977,19.4497398,Miguel Hidalgo,20000.0,370.3703703703704,54.0,1,1.0,6.054664291840508,0.8854873285509967,0.8585849060226639,25197.75666980699,25.98878334903495
-99.1625655,19.4183227,Cuauhtémoc,28900.0,688.0952380952381,42.0,1,1.0,6.154323675562185,1.3741104652006055,0.830531038273375,24595.968330351607,-14.892843147572297
-99.2150977,19.4497398,Miguel Hidalgo,29900.0,446.2686567164179,67.0,2,2.0,6.079599273264499,1.0669461497600292,0.8585849060226639,15200.465346438295,-49.16232325605922
-99.1331785,19.4326296,Cuauhtémoc,26200.0,655.0,40.0,1,1.0,6.099228368774647,1.5951561053574306,0.830531038273375,38765.74950615258,47.960875977681596
