entidad,nom_mun,nom_loc,longitud,latitud,pobtot,p18ym_pb,vph_inter,vph_pc,vph_autom,vph_telef,vph_lavad,vph_snbien,graproes,pea,prom_ocup,pder_ss,pct_internet,pct_educ_sup
9,Tláhuac,Axolocalco (Prolongación Santa Cruz),-98.94522527777778,19.220242222222222,90,18.0,2.0,4.0,5.0,1.0,12.0,0.0,8.0,43.0,3.6,61.0,2.2222222222222223,20.0
9,Tláhuac,El Tetecon (El Solitario),-99.024965,19.319274166666666,16,2.0,2.0,0.0,3.0,1.0,1.0,0.0,7.33,8.0,3.2,11.0,12.5,12.5
9,Tláhuac,Chinampa San Juan,-99.00998277777778,19.271608055555554,18,2.0,1.0,0.0,1.0,0.0,1.0,0.0,8.64,9.0,3.6,13.0,5.555555555555555,11.11111111111111
9,Tláhuac,Fin de Galeana,-99.0103475,19.269895555555554,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tláhuac,Paraje Xometitla,-98.96348222222223,19.220232499999998,145,54.0,15.0,15.0,5.0,10.0,28.0,0.0,10.5,77.0,4.26,93.0,10.344827586206897,37.24137931034483
9,Tláhuac,San Ignacio de Loyola,-98.95679777777778,19.217182777777776,856,183.0,41.0,34.0,48.0,5.0,115.0,1.0,8.5,423.0,4.12,460.0,4.789719626168224,21.378504672897197
9,Tláhuac,Paraje Ayecac,-98.96954666666667,19.225277777777777,81,19.0,9.0,4.0,0.0,4.0,13.0,0.0,9.55,35.0,4.26,70.0,11.11111111111111,23.456790123456788
9,Tláhuac,La Ciénega,-99.02198166666666,19.287568055555557,3050,441.0,191.0,83.0,137.0,12.0,302.0,4.0,7.83,1604.0,3.63,1938.0,6.262295081967213,14.459016393442623
9,Tláhuac,Chinampas Tetelco,-98.96804388888889,19.218989722222222,24,4.0,3.0,0.0,1.0,0.0,5.0,0.0,8.2,16.0,3.43,9.0,12.5,16.666666666666664
9,Tláhuac,Lomas de Xocotlán,-98.96633194444445,19.212960833333334,238,54.0,26.0,21.0,14.0,20.0,35.0,0.0,8.79,126.0,4.25,161.0,10.92436974789916,22.689075630252102
9,Tláhuac,Santa Catarina [Lienzo Charro],-98.97015666666667,19.3051575,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tláhuac,Tierra Blanca Parte Alta,-99.00973194444444,19.232620277777777,178,38.0,21.0,8.0,6.0,22.0,32.0,0.0,8.49,87.0,4.24,99.0,11.797752808988763,21.34831460674157
9,Tláhuac,Las Tablas,-98.99857333333334,19.2556525,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tláhuac,Camino a Tlaltenco,-99.02671388888889,19.30509277777778,71,7.0,8.0,1.0,0.0,1.0,6.0,0.0,7.14,33.0,5.07,45.0,11.267605633802818,9.859154929577464
9,Tláhuac,Prolongación Peña Alta,-99.00730694444445,19.226128055555552,101,22.0,12.0,8.0,6.0,4.0,16.0,0.0,9.03,52.0,3.88,74.0,11.881188118811881,21.782178217821784
9,Tláhuac,Rancho los Pollitos,-99.00484972222222,19.29843638888889,23,14.0,7.0,6.0,8.0,5.0,8.0,0.0,12.74,12.0,2.56,16.0,30.434782608695656,60.86956521739131
9,Tláhuac,Ejido de San Juan Ixtayopan,-98.99209361111112,19.24453777777778,20,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.53,11.0,4.0,9.0,5.0,5.0
9,Tláhuac,Tabla Telocuatitla,-98.98007083333333,19.295756944444445,34,1.0,1.0,0.0,2.0,0.0,2.0,1.0,4.5,20.0,3.4,16.0,2.941176470588235,2.941176470588235
9,Tláhuac,El Pato,-98.99664611111112,19.250804444444444,359,66.0,31.0,17.0,21.0,19.0,63.0,1.0,8.37,180.0,4.08,253.0,8.635097493036211,18.384401114206128
9,Tláhuac,Ejido de Tláhuac,-98.99434472222222,19.261975833333334,77,10.0,3.0,2.0,8.0,0.0,10.0,1.0,6.89,50.0,3.5,35.0,3.896103896103896,12.987012987012985
9,Tláhuac,El Paraíso (Mecoxtla),-98.97672694444445,19.324148055555554,1436,317.0,138.0,90.0,71.0,103.0,163.0,21.0,8.73,728.0,4.0,737.0,9.610027855153204,22.075208913649025
9,Tláhuac,Colonia los 500 metros,-98.97069805555556,19.32285472222222,405,121.0,41.0,29.0,39.0,21.0,65.0,2.0,9.53,230.0,3.8,304.0,10.123456790123457,29.876543209876544
